position_deg,125Hz,157Hz,198Hz,250Hz,315Hz,397Hz,500Hz,630Hz,794Hz,1000Hz,1260Hz,1587Hz,2000Hz,2520Hz,3175Hz,4000Hz,5040Hz,6350Hz,8000Hz
-90.00,-0.54,0.07,-0.17,-0.06,-0.47,-0.31,-1.11,-0.18,-0.17,-1.73,-0.86,0.44,0.08,-0.66,2.86,1.01,0.58,0.71,0.13
-72.00,-1.05,-0.09,-0.55,-0.36,-0.05,-1.06,-0.92,-4.46,-4.58,-1.69,-1.49,-0.59,-0.28,-1.68,2.94,-0.94,-0.31,0.54,-0.14
-54.00,-0.36,-0.03,-2.76,-3.12,0.10,-1.10,0.54,-0.65,-0.57,-2.06,-0.89,-0.18,-1.03,-2.06,0.97,0.13,-0.11,-0.44,-0.04
-36.00,0.58,1.64,-5.17,-7.64,2.12,-0.55,1.08,-1.07,-1.14,-1.52,0.18,0.17,-1.78,-0.49,1.53,0.67,-0.33,-0.48,-0.32
-18.00,-0.36,0.51,-1.73,-1.86,0.58,-0.38,0.32,-0.58,-0.53,-1.53,-0.45,-0.47,0.76,0.36,0.95,-0.52,-0.67,-0.56,-0.55
0.00,0.55,0.51,0.92,1.11,0.30,0.78,1.09,0.88,0.94,1.19,0.58,-0.04,0.80,0.84,0.30,-0.82,-0.23,0.43,0.75
18.00,0.07,-0.84,0.65,0.88,-0.80,0.33,2.18,-0.25,-0.33,1.14,-0.26,-0.68,-1.59,0.03,-1.00,-1.73,-1.04,-0.15,-1.04
36.00,0.72,-0.65,3.62,4.82,-1.15,1.18,1.34,3.31,3.41,3.86,0.75,1.13,0.79,1.53,-2.09,-0.34,0.94,0.36,0.63
54.00,0.54,-1.21,1.88,2.26,-1.47,0.82,-0.95,4.64,4.73,3.72,0.95,0.74,-0.63,2.23,-4.41,0.43,1.79,0.05,0.09
72.00,-0.47,-0.05,1.88,2.28,0.09,-0.24,-3.66,-0.61,-0.63,-0.96,0.50,-0.26,2.00,-0.19,-1.17,1.73,-0.27,-0.26,-0.03
90.00,0.33,0.14,1.44,1.67,0.74,0.53,0.09,-1.04,-1.11,-0.40,0.99,-0.26,0.88,0.09,-0.86,0.37,-0.35,-0.21,0.53
