serial,125Hz,157Hz,198Hz,250Hz,315Hz,397Hz,500Hz,630Hz,794Hz,1000Hz,1260Hz,1587Hz,2000Hz,2520Hz,3175Hz,4000Hz,5040Hz,6350Hz,8000Hz
8108893.00,1.10,1.00,-0.89,-1.80,1.04,0.57,0.54,1.54,1.61,0.93,0.85,0.53,-0.11,0.47,-0.01,0.44,0.60,-0.01,0.12
8108897.00,0.55,0.51,0.92,1.11,0.30,0.78,1.09,0.88,0.94,1.19,0.58,-0.04,0.80,0.84,0.30,-0.82,-0.23,0.43,0.75
8108900.00,0.20,-0.01,-0.67,-1.01,-0.07,0.07,1.88,0.71,0.66,1.40,0.07,0.78,-0.88,0.56,-0.55,-0.11,0.01,-0.11,0.19
8108901.00,1.17,1.08,1.94,2.10,1.29,1.70,2.99,1.41,1.45,1.80,1.73,1.33,1.37,0.62,0.60,1.02,0.53,0.57,1.33
8108903.00,-0.44,0.08,0.94,1.21,0.20,-0.27,-3.05,-0.81,-0.81,0.07,-0.01,0.55,1.52,-0.90,0.39,0.82,0.05,0.16,0.42
8108904.00,0.64,1.12,1.11,1.24,1.37,0.46,-0.79,-0.20,-0.22,-0.91,1.07,1.22,1.56,0.29,0.94,1.32,0.78,0.74,1.61
8111892.00,-2.88,-2.15,-3.53,-3.48,-2.13,-3.64,-5.78,-4.12,-4.17,-5.16,-3.03,-2.66,-2.48,-2.34,-0.42,-0.85,0.11,-0.72,-1.42
8111896.00,0.81,-0.38,1.10,1.23,-0.68,0.63,0.84,2.44,2.47,2.29,0.39,0.48,-0.35,0.93,-2.26,0.37,0.39,-0.12,-0.46
8111897.00,-0.85,-0.91,0.16,0.37,-1.10,-0.23,-0.23,-1.02,-1.06,-1.22,-0.94,-1.04,-0.60,-0.86,1.05,0.06,-0.55,-0.24,-0.95
8112310.00,-0.55,-0.73,0.32,0.61,-0.88,-0.23,0.85,-1.52,-1.56,-0.16,-0.20,-0.90,0.28,-0.65,-0.90,-1.51,-1.49,-1.47,-1.34
8112321.00,0.26,0.40,-1.41,-1.58,0.66,0.17,1.66,0.69,0.69,-0.23,-0.51,-0.25,-1.11,1.04,0.85,-0.74,-0.22,0.76,-0.26
