position_deg,125Hz,157Hz,198Hz,250Hz,315Hz,397Hz,500Hz,630Hz,794Hz,1000Hz,1260Hz,1587Hz,2000Hz,2520Hz,3175Hz,4000Hz,5040Hz,6350Hz,8000Hz
-90.00,-0.42,0.17,-0.21,-0.66,-0.58,-0.58,-0.50,-0.36,-0.56,0.24,-0.38,0.13,0.30,-0.50,0.64,0.39,0.28,0.81,0.22
-72.00,-0.78,0.23,-0.30,-0.92,-0.18,-2.63,-1.31,-0.99,-1.74,-0.04,-1.15,0.22,-0.43,-1.07,0.15,-0.06,-0.70,0.91,-0.31
-54.00,-0.09,0.00,0.11,-0.02,0.34,-1.15,0.07,-0.30,-0.57,-1.15,-0.47,-0.33,-1.08,-0.59,-0.34,-1.22,-0.16,-0.23,-0.20
-36.00,0.76,1.25,1.34,1.05,2.03,-0.54,0.67,1.07,-0.29,-0.05,0.11,0.37,-1.57,-0.73,0.66,-0.57,-0.55,0.12,0.37
-18.00,-0.43,0.38,0.11,-0.06,0.48,0.31,-0.60,-0.16,-0.71,-0.19,-0.60,0.14,-0.33,-0.38,0.40,0.14,-0.86,-0.38,-0.21
0.00,0.31,0.48,0.43,0.44,0.25,0.89,0.30,0.36,0.62,0.22,0.15,0.45,-0.10,0.34,0.10,0.07,-0.78,0.47,0.84
18.00,-0.16,-1.07,-0.54,-0.24,-0.83,-0.54,0.50,-0.12,0.28,-1.31,-0.36,-1.07,-1.78,-0.11,-1.25,-1.21,-0.69,-0.53,-1.30
36.00,0.37,-1.05,-0.76,-0.10,-1.10,1.40,0.86,0.06,1.23,0.59,0.90,-0.02,1.25,1.30,-1.26,-0.04,1.88,0.03,0.26
54.00,0.21,-1.54,-1.10,-0.25,-1.30,1.71,0.89,0.27,1.13,-0.05,0.92,-0.79,0.42,1.27,-1.30,0.21,2.58,-0.43,-0.11
72.00,-0.26,0.43,0.09,-0.15,-0.02,0.26,-1.01,-0.14,0.05,1.22,0.30,0.44,2.69,-0.04,1.55,1.70,-0.29,-0.34,0.02
90.00,0.50,0.71,0.82,0.91,0.91,0.86,0.12,0.31,0.56,0.53,0.59,0.46,0.64,0.49,0.65,0.59,-0.72,-0.44,0.44
