position_deg,125Hz,157Hz,198Hz,250Hz,315Hz,397Hz,500Hz,630Hz,794Hz,1000Hz,1260Hz,1587Hz,2000Hz,2520Hz,3175Hz,4000Hz,5040Hz,6350Hz,8000Hz
-90.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
-72.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
-54.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
-36.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
-18.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
0.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
18.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
36.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
54.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
72.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
90.00,0.24,0.26,0.20,0.21,0.20,0.33,0.16,0.14,0.19,0.23,0.21,0.18,0.42,0.15,0.21,0.22,0.26,0.20,0.11
