position_deg,125Hz,157Hz,198Hz,250Hz,315Hz,397Hz,500Hz,630Hz,794Hz,1000Hz,1260Hz,1587Hz,2000Hz,2520Hz,3175Hz,4000Hz,5040Hz,6350Hz,8000Hz
-90.00,-0.35,0.26,-0.18,-0.92,-0.68,-0.36,-0.73,-0.34,-0.57,0.14,-0.47,-0.04,0.47,-0.54,0.90,0.41,0.24,0.79,0.29
-72.00,-0.79,0.32,-0.44,-2.08,-0.22,-2.87,-1.40,-2.17,-3.39,-0.04,-1.49,-0.14,-0.28,-1.23,0.53,-0.74,-0.46,0.89,-0.30
-54.00,0.01,-0.00,-0.49,-0.92,0.27,-1.29,0.13,-0.44,-0.50,-0.94,0.05,-0.52,-0.92,-0.98,-0.22,-1.50,-0.47,0.22,-0.15
-36.00,0.86,1.27,-0.41,-1.38,1.91,-0.46,-0.23,0.90,-0.08,-0.12,0.49,0.17,-1.90,-0.81,0.50,-0.12,-1.00,-0.14,0.30
-18.00,-0.32,0.41,-0.46,-0.69,0.39,0.38,-1.19,0.04,-0.57,-0.32,-0.83,0.39,-0.20,-0.30,0.68,0.37,-0.96,-0.35,-0.26
0.00,0.41,0.49,0.44,0.76,0.29,0.80,0.42,0.52,0.81,0.47,0.18,0.44,-0.19,0.48,0.31,0.13,-0.71,0.37,0.78
18.00,-0.11,-1.09,-0.41,0.41,-0.70,-0.85,0.92,-0.37,0.31,-1.06,-0.31,-1.33,-1.95,-0.18,-1.40,-1.39,-0.75,-0.49,-1.18
36.00,0.31,-1.07,0.44,1.84,-0.93,1.45,1.41,0.68,1.59,0.58,0.82,0.46,1.32,1.31,-1.23,0.02,2.21,0.14,0.27
54.00,0.11,-1.63,-0.31,1.71,-1.20,1.99,0.68,1.44,2.35,-0.36,1.20,-0.22,0.35,1.46,-1.78,1.06,2.80,-0.48,-0.03
72.00,-0.47,0.43,0.72,0.24,0.00,0.45,-0.64,-0.21,0.00,1.21,-0.13,0.27,2.66,0.19,1.28,1.45,-0.21,-0.58,-0.02
90.00,0.35,0.61,1.09,1.04,0.88,0.76,0.64,-0.05,0.05,0.46,0.49,0.53,0.64,0.60,0.43,0.31,-0.70,-0.37,0.29
