position_deg,125Hz,157Hz,198Hz,250Hz,315Hz,397Hz,500Hz,630Hz,794Hz,1000Hz,1260Hz,1587Hz,2000Hz,2520Hz,3175Hz,4000Hz,5040Hz,6350Hz,8000Hz
-90.00,0.20,0.21,0.50,0.60,0.22,0.21,0.63,0.41,0.41,0.44,0.26,0.30,0.51,0.28,0.55,0.49,0.26,0.19,0.15
-72.00,0.31,0.33,0.77,0.93,0.35,0.33,0.98,0.63,0.63,0.68,0.40,0.46,0.80,0.44,0.86,0.76,0.40,0.30,0.24
-54.00,0.31,0.33,0.77,0.93,0.35,0.33,0.98,0.63,0.63,0.68,0.40,0.46,0.80,0.44,0.86,0.76,0.40,0.30,0.24
-36.00,0.20,0.21,0.50,0.60,0.22,0.21,0.63,0.41,0.41,0.44,0.26,0.30,0.51,0.28,0.55,0.49,0.26,0.19,0.15
-18.00,0.20,0.21,0.50,0.60,0.22,0.21,0.63,0.41,0.41,0.44,0.26,0.30,0.51,0.28,0.55,0.49,0.26,0.19,0.15
0.00,0.12,0.12,0.29,0.35,0.13,0.12,0.37,0.24,0.24,0.25,0.15,0.17,0.30,0.17,0.32,0.29,0.15,0.11,0.09
18.00,0.20,0.21,0.50,0.60,0.22,0.21,0.63,0.41,0.41,0.44,0.26,0.30,0.51,0.28,0.55,0.49,0.26,0.19,0.15
36.00,0.20,0.21,0.50,0.60,0.22,0.21,0.63,0.41,0.41,0.44,0.26,0.30,0.51,0.28,0.55,0.49,0.26,0.19,0.15
54.00,0.24,0.25,0.60,0.72,0.27,0.25,0.76,0.49,0.49,0.52,0.31,0.36,0.62,0.34,0.66,0.59,0.31,0.23,0.19
72.00,0.24,0.25,0.60,0.72,0.27,0.25,0.76,0.49,0.49,0.52,0.31,0.36,0.62,0.34,0.66,0.59,0.31,0.23,0.19
90.00,0.20,0.21,0.50,0.60,0.22,0.21,0.63,0.41,0.41,0.44,0.26,0.30,0.51,0.28,0.55,0.49,0.26,0.19,0.15
