position_deg,216Hz(pwm1800h1),238Hz(pwm1900h1),258Hz(pwm2000h1),432Hz(pwm1800h2),476Hz(pwm1900h2),517Hz(pwm2000h2),647Hz(pwm1800h3),714Hz(pwm1900h3),775Hz(pwm2000h3),863Hz(pwm1800h4),952Hz(pwm1900h4),1034Hz(pwm2000h4),1079Hz(pwm1800h5),1191Hz(pwm1900h5),1292Hz(pwm2000h5),1295Hz(pwm1800h6),1429Hz(pwm1900h6),1551Hz(pwm2000h6)
-90,1.45,0.62,-4.09,0.85,-1.41,1.76,-2.14,-0.78,-1.33,-0.71,-3.11,1.87,-0.03,-1.60,-2.25,2.19,0.91,-0.10
-72,0.70,0.90,-4.15,-1.05,0.21,1.61,-3.97,-3.04,-3.85,-0.82,0.17,1.55,-0.14,-1.45,-1.93,-0.14,0.34,-0.32
-54,0.83,-2.54,-5.39,-0.20,-2.39,0.78,-3.34,-1.48,-1.85,-1.24,-3.02,1.00,-0.45,-1.40,-0.20,2.47,0.98,-1.14
-36,-1.26,-10.69,-0.39,0.18,1.76,-5.38,2.36,-1.03,3.72,0.45,-1.04,0.91,-0.28,-0.96,3.34,-0.06,1.09,-1.72
-18,-1.75,-1.66,0.42,-0.67,1.69,-5.12,1.67,-1.23,2.27,-0.22,-1.55,1.21,0.28,-0.51,0.12,-4.01,-1.42,0.62
0,-1.48,1.40,2.70,0.86,0.97,-0.79,1.51,1.01,0.90,0.83,1.45,0.84,-0.32,0.77,0.04,-0.94,-2.89,0.63
18,-3.20,0.19,3.12,-0.89,3.75,-3.32,-0.19,-0.39,1.07,0.44,1.39,-0.38,-0.02,-0.31,0.93,-3.48,-0.92,-1.85
36,0.25,2.41,4.37,0.23,0.99,-0.16,1.41,3.89,0.02,0.49,4.08,-5.58,0.38,0.77,0.32,1.46,1.55,1.32
54,1.22,3.28,4.94,0.96,-2.70,1.60,2.86,4.58,0.56,0.85,3.44,-5.44,0.18,1.66,0.85,2.89,1.61,1.12
72,2.08,3.04,-1.33,-0.11,-3.38,5.40,0.31,-0.02,-0.91,0.54,-0.77,2.02,0.25,1.19,-1.21,-0.52,-0.48,0.22
90,1.17,3.06,-0.20,-0.16,0.50,3.62,-0.48,-1.51,-0.61,-0.61,-1.05,2.00,0.16,1.84,-0.02,0.13,-0.76,1.23
se_mean,0.69,0.66,0.99,0.44,0.84,1.32,0.94,0.51,0.67,0.51,0.61,0.35,0.45,0.45,0.76,0.85,0.53,0.58
residual_rms,1.68,2.08,2.98,1.08,2.65,3.97,2.31,1.60,2.01,1.24,1.91,1.04,1.11,1.43,2.28,2.09,1.67,1.73
